URLs,Title,Year,Genres,IMDB Rating,Duration,Age Rating,Countries,Streaming
https://www.justwatch.com/in/movie/martin,Martin,2024,"Action & Adventure, Drama, Mystery & Thriller",2.8,2h 27min,UA,India,Bookmyshow
https://www.justwatch.com/in/movie/salaar,Salaar,2023,"Crime, Drama, Mystery & Thriller, Action & Adventure",6.6,2h 55min,A,India,"VI movies and tv, Netflix, Hotstar, Bookmyshow"
https://www.justwatch.com/in/movie/365-days,365 Days,2020,"Drama, Romance, Made in Europe",3.3,1h 54min,,Poland,Netflix
https://www.justwatch.com/in/movie/jigra-2024,Jigra,2024,"Drama, Mystery & Thriller, Crime, Action & Adventure",7.3,2h 35min,,India,Bookmyshow
https://www.justwatch.com/in/movie/je-jatt-vigad-gya,Je Jatt Vigad Gya,2024,Drama,5.0,2h 12min,,India,
https://www.justwatch.com/in/movie/venom-3-2024,Venom: The Last Dance,2024,"Action & Adventure, Science-Fiction, Mystery & Thriller",6.2,1h 49min,,United States,Bookmyshow
https://www.justwatch.com/in/movie/aavesham-2024,Aavesham,2024,"Comedy, Action & Adventure",7.8,2h 38min,,India,"Amazon Prime Video, Hotstar, Amazon Video, Bookmyshow"
https://www.justwatch.com/in/movie/the-shadow-strays,The Shadow Strays,2024,"Mystery & Thriller, Action & Adventure, Crime",6.6,2h 25min,A,"Indonesia, United States",Netflix
https://www.justwatch.com/in/movie/furiosa,Furiosa: A Mad Max Saga,2024,"Action & Adventure, Science-Fiction, Mystery & Thriller",7.5,2h 28min,A,"Australia, United States","Jio Cinema, Amazon Video, Apple TV, Apple TV"
https://www.justwatch.com/in/movie/bhediya,Bhediya,2022,"Comedy, Horror, Mystery & Thriller",6.7,2h 36min,UA,India,Jio Cinema
https://www.justwatch.com/in/movie/kishkkindha-kandam,Kishkindha Kaandam,2024,"Mystery & Thriller, Drama",8.6,2h 13min,UA,India,Bookmyshow
https://www.justwatch.com/in/movie/prisoners,Prisoners,2013,"Drama, Mystery & Thriller, Crime",8.2,2h 33min,A,United States,"Amazon Prime Video, Lionsgate Play, FilmBox+, Amazon Video, Apple TV, Apple TV"
https://www.justwatch.com/in/movie/the-platform-2,The Platform 2,2024,"Horror, Science-Fiction, Mystery & Thriller, Drama",5.0,1h 39min,A,Spain,Netflix
https://www.justwatch.com/in/movie/untitled-vicky-kaushal-prime-video-project,Bad Newz,2024,"Romance, Comedy, Drama",4.9,2h 20min,,India,"Amazon Prime Video, Amazon Video"
https://www.justwatch.com/in/movie/the-fall-guy,The Fall Guy,2024,"Comedy, Drama, Romance, Action & Adventure",6.9,2h 6min,UA,"Australia, Canada, United States","Jio Cinema, Amazon Video, Apple TV, Apple TV"
https://www.justwatch.com/in/movie/maharaja-2024,Maharaja,2024,"Action & Adventure, Crime, Drama, Mystery & Thriller",8.5,2h 21min,,India,Netflix
https://www.justwatch.com/in/movie/thalavan,Thalavan,2024,"Mystery & Thriller, Crime",7.2,2h 13min,,India,Sony Liv
https://www.justwatch.com/in/tv-show/from,From,2022,"Drama, Horror, Science-Fiction, Mystery & Thriller",7.8,50min,,United States,Amazon Prime Video
https://www.justwatch.com/in/tv-show/taaza-khabar,Taaza Khabar,2023,"Drama, Science-Fiction, Action & Adventure, Comedy, Fantasy, Mystery & Thriller",8.1,32min,,India,Hotstar
https://www.justwatch.com/in/tv-show/the-penguin,The Penguin,2024,"Drama, Crime, Fantasy",8.8,57min,,United States,Jio Cinema
https://www.justwatch.com/in/tv-show/mirzapur,Mirzapur,2018,"Action & Adventure, Drama, Crime, Mystery & Thriller",8.4,50min,A,India,Amazon Prime Video
